idx,salary
276,1000
286,1000
288,1000
301,1000
381,1000
386,1000
405,1000
453,1000
473,1000
484,1000
541,1000
542,1000
555,1000
574,1000
597,1000
621,1000
676,1000
701,1000
715,1000
748,1000
788,1000
835,1000
848,1000
851,1000
882,1000
885,1000
916,1000
954,1000
962,1000
983,1000
986,1000
1043,1000
1061,1000
1133,1000
1146,1000
1158,1000
1240,1000
1242,1000
1248,1000
1257,1000
1267,1000
1289,1000
1316,1000
1353,1000
1359,1000
1385,1000
1402,1000
1419,1000
1431,1000
1436,1000
1443,1000
1445,1000
1470,1000
1473,1000
1481,1000
1491,1000
1526,1000
1585,1000
1588,1000
1593,1000
1598,1000
1600,1000
1619,1000
1646,1000
1657,1000
1695,1000
1710,1000
1728,1000
1742,1000
1751,1000
1752,1000
1759,1000
1778,1000
1793,1000
1795,1000
1796,1000
1804,1000
1840,1000
1867,1000
1875,1000
1906,1000
1917,1000
1972,1000
2004,1000
2020,1000
2041,1000
2056,1000
2063,1000
2078,1000
2088,1000
2091,1000
2104,1000
2116,1000
2120,1000
2140,1000
2141,1000
2154,1000
2184,1000
2241,1000
2255,1000
2274,1000
2282,1000
2341,1000
2361,1000
2364,1000
2369,1000
2374,1000
2378,1000
2379,1000
2394,1000
2409,1000
2411,1000
2414,1000
2433,1000
2438,1000
2475,1000
2531,1000
2538,1000
2569,1000
2578,1000
2675,1000
2693,1000
2722,1000
2733,1000
2814,1000
2832,1000
2857,1000
2894,1000
2923,1000
2935,1000
2958,1000
2972,1000
3011,1000
3017,1000
3029,1000
3063,1000
3075,1000
3098,1000
3107,1000
3109,1000
3162,1000
3191,1000
3217,1000
3223,1000
3236,1000
3238,1000
3259,1000
3299,1000
3321,1000
3325,1000
3326,1000
3340,1000
3347,1000
3398,1000
3419,1000
3429,1000
3483,1000
3486,1000
3497,1000
3521,1000
3532,1000
3571,1000
3616,1000
3652,1000
3673,1000
3675,1000
3697,1000
3716,1000
3748,1000
3815,1000
3816,1000
3823,1000
3830,1000
3858,1000
3883,1000
3901,1000
3925,1000
3932,1000
3945,1000
3965,1000
3972,1000
3988,1000
3996,1000
4024,1000
4035,1000
4046,1000
4050,1000
4057,1000
4064,1000
4068,1000
4087,1000
4098,1000
4123,1000
4215,1000
4221,1000
4229,1000
4231,1000
4242,1000
4259,1000
4280,1000
4293,1000
4343,1000
4350,1000
4362,1000
4457,1000
4471,1000
4473,1000
4482,1000
4501,1000
4548,1000
4591,1000
4650,1000
4654,1000
4743,1000
4765,1000
4796,1000
4904,1000
4909,1000
4912,1000
4930,1000
4936,1000
4943,1000
4962,1000
5005,1000
5008,1000
5050,1000
5125,1000
5138,1000
5213,1000
5227,1000
5246,1000
5249,1000
5251,1000
5253,1000
5288,1000
5289,1000
5314,1000
5334,1000
5424,1000
5458,1000
5483,1000
5487,1000
5493,1000
5513,1000
5541,1000
5546,1000
5547,1000
5552,1000
5603,1000
5634,1000
5659,1000
5673,1000
5726,1000
