CompTotal,Gender,Manager,YearsCode,Age1stCode,YearsCodePro,Education
51500,Man,IC,3,14,1,BA
180000,Man,IC,30,16,30,BA
52000,Man,IC,9,19,4,LT BA
40000,Man,IC,2,25,LT 1 year,BA
350000,Man,Manager,34,11,27,LT BA
250000,Man,IC,13,10,10,LT BA
90000,Man,IC,7,15,4,BA
140000,Man,IC,5,18,4,BA
165000,Man,Manager,35,17,30,MA
123000,Woman,IC,20,7,20,BA
1e+05,Man,IC,30,20,11,LT BA
150000,Man,IC,20,12,15,BA
2e+05,Man,IC,6,21,3,LT BA
62000,Man,IC,25,15,10,BA
82650,Man,IC,12,12,7,MA
130000,Man,IC,15,11,4,BA
22000,Man,IC,10,12,7,MA
1e+05,Man,IC,22,13,19,BA
150000,Man,IC,17,13,11,BA
108000,Man,IC,40,15,34,LT BA
155000,Man,IC,21,20,17,BA
160000,Man,IC,14,12,8,BA
92000,Man,IC,4,21,3,BA
1e+06,Man,Manager,6,26,6,BA
67000,Man,IC,7,15,3,BA
67000,Man,IC,7,17,3,BA
87000,Man,IC,6,17,4,BA
74000,Man,IC,6,14,2,BA
110000,Man,Manager,18,9,14,LT BA
170000,Man,IC,6,16,LT 1 year,BA
110000,Man,IC,11,16,5,MA
135000,Man,IC,7,14,2,BA
80000,Man,IC,13,14,5,BA
225000,Man,IC,15,11,6,LT BA
90000,Man,IC,6,24,4,BA
64138,Man,IC,14,12,10,BA
68000,Woman,IC,6,18,2,BA
88000,Man,IC,8,18,3,BA
65000,Man,Manager,13,18,8,BA
58000,Man,IC,20,14,12,BA
99000,Man,IC,10,18,10,MA
140000,Man,Manager,18,8,5,MA
115000,Man,IC,3,30,2,LT BA
95000,Man,IC,9,16,3,BA
75000,Man,IC,5,23,2,BA
70000,Man,IC,7,16,3,BA
190000,Man,IC,12,17,8,MA
58000,Man,IC,5,22,2,BA
87000,Man,IC,11,15,8,BA
117000,Man,IC,7,14,1,BA
101250,Man,IC,6,16,2,BA
235000,Man,Manager,12,17,12,BA
76000,Man,Manager,10,10,7,MA
90000,Woman,IC,18,11,7,BA
115000,Man,IC,18,12,17,BA
72000,Man,IC,10,11,6,BA
65000,Man,IC,20,17,10,MA
280000,Man,IC,10,13,8,BA
2e+05,Man,Manager,45,13,40,MA
65000,Man,IC,5,18,2,BA
36000,Man,IC,7,12,3,LT BA
101500,Man,IC,3,25,2,BA
95000,Man,Manager,9,10,5,BA
78000,Man,Manager,40,12,4,LT BA
180000,Man,IC,19,16,14,BA
116000,Man,IC,35,15,25,BA
90000,Woman,IC,3,36,2,BA
144000,Man,IC,22,11,14,BA
180000,Man,IC,40,17,30,LT BA
140000,Man,IC,18,16,14,PhD
60000,Man,IC,13,13,4,BA
76000,Woman,IC,6,11,4,BA
60000,Man,IC,10,13,5,MA
2e+05,Man,IC,13,19,11,BA
107000,Man,Manager,20,17,16,LT BA
