CompTotal,Gender,Manager,YearsCode,Age1stCode,YearsCodePro,Education
77000,Man,IC,5,16,1,BA
72000,Man,IC,1,17,LT 1 year,MA
140000,Man,IC,6,18,6,LT BA
115000,Woman,IC,9,20,4,BA
65000,Man,IC,12,10,8,LT BA
147500,Man,IC,13,14,11,BA
75000,Man,IC,9,21,9,Professional
95000,Man,IC,10,17,8,LT BA
70000,Man,IC,3,12,3,MA
149000,Man,IC,16,15,11,BA
125000,Woman,IC,21,9,12,BA
96000,Man,IC,12,18,10,BA
215000,Man,Manager,16,17,14,BA
120000,Man,IC,14,15,10,BA
138000,Man,IC,20,14,14,MA
121000,Man,IC,14,19,4,PhD
133000,Man,Manager,27,7,22,BA
84000,Man,IC,8,15,4,BA
106000,Man,IC,10,19,8,MA
45000,Man,IC,25,14,16,BA
24000,Man,IC,5,19,3,BA
73000,Man,Manager,20,13,6,BA
65000,Man,IC,2,11,1,BA
110000,Man,IC,16,10,10,BA
50000,Man,IC,7,20,6,LT BA
85000,Man,IC,6,14,3,BA
2e+05,Man,Manager,5,26,5,BA
93000,Woman,IC,12,18,8,BA
2e+05,Man,Manager,11,14,7,LT BA
1e+05,Man,IC,9,21,3,BA
110000,Man,IC,12,16,5,LT BA
93000,Woman,IC,7,45,7,MA
94000,Man,IC,8,14,2,BA
160000,Man,IC,11,13,8,BA
260000,Man,IC,20,8,18,LT BA
89000,Man,IC,8,13,6,BA
140000,Man,IC,36,16,35,LT BA
172000,Man,Manager,30,10,21,BA
70000,Man,Manager,25,7,12,BA
2e+05,Man,IC,8,18,4,BA
125000,Man,IC,6,15,4,BA
70000,Man,IC,28,12,25,BA
70452,Man,IC,7,10,1,BA
104000,Man,IC,20,11,13,BA
155000,Man,IC,10,14,6,MA
140000,Man,IC,20,13,14,BA
85000,Man,IC,6,28,5,BA
150000,Man,IC,37,17,33,BA
1013001,Man,IC,10,17,7,BA
91000,Man,IC,7,18,3,MA
102000,Man,IC,43,12,32,LT BA
64000,Man,IC,3,28,2,BA
58000,Man,IC,3,22,2,BA
96000,Man,IC,4,13,4,BA
84000,Man,IC,3,22,3,BA
4e+05,Man,Manager,10,17,3,LT BA
1e+05,Man,IC,7,19,5,MA
65000,Man,IC,13,10,4,LT BA
130000,Man,IC,9,16,3,BA
130000,Man,IC,16,18,13,BA
75000,Man,Manager,32,10,15,PhD
105000,Man,IC,8,15,7,MA
145000,Man,IC,13,9,5,BA
130000,Man,Manager,24,11,14,BA
154000,Man,IC,32,12,28,BA
71500,Man,IC,4,20,3,BA
84208,Man,IC,20,19,5,BA
80000,Man,IC,20,5,4,LT BA
1e+05,Man,IC,8,9,5,LT BA
165000,Man,IC,20,11,15,BA
67000,Man,IC,11,13,2,BA
80000,Man,IC,7,14,2,BA
110000,Man,Manager,More than 50 years,17,43,MA
150000,Man,IC,10,16,6,BA
130000,Man,IC,38,9,32,BA
155000,Man,IC,16,14,8,BA
212500,Man,Manager,25,5,9,MA
1e+05,Man,IC,16,11,9,BA
115000,Man,IC,9,18,5,BA
81000,Man,IC,35,18,7,BA
40000,Man,IC,12,14,3,LT BA
140000,Man,IC,20,11,13,MA
2e+05,Man,IC,14,13,6,MA
160000,Man,Manager,20,15,16,LT BA
180000,Man,Manager,10,17,8,BA
116580,Man,IC,13,13,13,LT BA
144000,Man,IC,25,14,20,BA
351850,Man,Manager,16,12,12,BA
117000,Man,Manager,30,10,25,MA
1e+05,Man,IC,5,8,2,BA
110000,Man,IC,17,13,13,BA
65000,Man,IC,3,18,LT 1 year,BA
115000,Man,IC,19,13,14,BA
110000,Man,IC,15,17,15,BA
105000,Man,IC,12,14,6,MA
150000,Man,Manager,10,13,7,LT BA
148000,Man,IC,15,12,12,BA
52200,Man,IC,6,Younger than 5 years,3,LT BA
115000,Man,IC,15,12,8,MA
132000,Man,IC,8,25,6,BA
180000,Man,Manager,25,12,15,LT BA
114000,Man,IC,15,12,13,LT BA
70000,Man,IC,5,17,1,BA
270000,Man,IC,20,12,15,BA
70000,Man,IC,12,12,6,MA
70000,Man,IC,5,13,3,LT BA
42000,Man,IC,12,11,3,BA
240000,Man,IC,10,14,6,MA
84000,Woman,IC,4,26,3,BA
109000,Woman,IC,4,38,3,BA
70000,Man,IC,10,11,4,BA
90000,Man,IC,7,23,5,BA
136000,Woman,IC,5,30,4,BA
2e+05,Man,IC,13,20,8,BA
1e+05,Man,IC,9,20,9,MA
130000,Man,IC,4,27,3,BA
66000,Man,IC,15,8,1,BA
125000,Man,Manager,25,10,20,MA
80000,Woman,IC,16,12,10,BA
222000,Man,IC,37,13,28,BA
140000,Man,IC,32,12,24,BA
95000,Man,IC,8,10,5,BA
2e+05,Man,IC,9,19,5,MA
190000,Man,IC,19,16,16,MA
220000,Man,IC,19,22,15,MA
220000,Man,IC,49,17,47,BA
158000,Man,Manager,27,11,16,BA
70000,Man,IC,12,16,9,BA
78000,Man,IC,17,14,14,BA
160000,Man,IC,39,10,28,LT BA
56000,Man,IC,6,12,2,BA
99000,Man,IC,25,10,19,LT BA
60000,Woman,IC,2,12,1,BA
21000,Man,IC,10,13,LT 1 year,BA
114000,Man,Manager,9,12,7,BA
140000,Man,IC,15,16,6,BA
67000,Man,IC,15,17,5,LT BA
140000,Man,IC,7,18,3,BA
168000,Man,IC,15,13,11,BA
75000,Man,IC,10,15,5,LT BA
35000,Woman,IC,5,12,4,MA
68000,Man,IC,6,15,LT 1 year,BA
60000,Man,IC,3,30,2,LT BA
66175,Man,IC,5,19,2,BA
80000,Woman,IC,30,11,16,MA
145000,Man,IC,7,13,6,BA
40000,Man,IC,5,6,5,BA
85000,Woman,IC,4,18,LT 1 year,BA
160000,Man,Manager,23,10,14,BA
85000,Woman,IC,4,13,3,BA
156000,Man,IC,15,10,7,LT BA
52000,Man,IC,6,21,LT 1 year,BA
180000,Man,IC,8,22,5,BA
185000,Man,Manager,18,20,16,MA
90000,Man,IC,42,12,37,LT BA
185000,Man,IC,16,14,10,LT BA
120000,Man,IC,28,15,25,MA
130000,Man,IC,14,14,6,BA
57000,Man,IC,9,20,5,MA
60000,Man,IC,13,12,4,BA
104000,Man,IC,22,7,10,MA
186000,Man,Manager,30,8,24,MA
64000,Man,IC,11,15,3,BA
50000,Man,IC,4,18,1,BA
65000,Woman,IC,2,34,2,PhD
50000,Man,IC,12,8,8,BA
85000,Man,IC,10,14,2,MA
60000,Man,IC,26,10,1,BA
99000,Man,IC,28,11,12,BA
1e+05,Man,Manager,37,10,17,LT BA
120000,Man,IC,8,16,8,BA
99000,Man,IC,6,12,7,MA
108000,Woman,IC,35,25,32,LT BA
47000,Man,IC,3,22,1,BA
80000,Man,IC,8,13,6,BA
70000,Man,IC,5,13,3,LT BA
132000,Man,IC,5,16,1,BA
140000,Man,IC,26,10,20,LT BA
107000,Man,IC,22,11,19,BA
39312,Man,IC,2,15,LT 1 year,LT BA
107000,Man,IC,2,33,2,BA
104030,Man,IC,17,13,10,MA
105000,Man,IC,2,30,1,LT BA
68500,Man,IC,4,20,LT 1 year,BA
120000,Man,IC,23,10,13,MA
114000,Man,IC,19,15,12,BA
64500,Man,IC,3,21,2,BA
70000,Man,IC,8,12,17,LT BA
101000,Woman,Manager,6,24,5,BA
165000,Man,Manager,15,10,6,BA
108000,Man,Manager,5,19,3,MA
107000,Man,IC,22,13,12,BA
140000,Man,IC,6,15,2,BA
50000,Man,IC,5,18,1,BA
51000,Man,IC,4,11,LT 1 year,BA
136000,Man,IC,40,12,34,BA
105000,Man,IC,15,16,10,PhD
150000,Man,IC,5,19,5,PhD
70500,Man,IC,13,17,5,MA
120000,Man,IC,20,11,11,BA
150000,Man,IC,2,7,2,MA
90000,Man,IC,15,16,13,BA
80000,Man,IC,5,26,2,MA
74000,Man,IC,7,20,5,BA
105000,Man,IC,11,13,4,PhD
450000,Man,IC,20,12,16,LT BA
85000,Man,IC,7,17,3,BA
86000,Man,IC,8,14,5,BA
1e+05,Woman,IC,8,16,4,BA
105000,Man,IC,20,15,14,LT BA
1e+05,Man,IC,12,10,LT 1 year,BA
280000,Man,IC,32,12,22,LT BA
82000,Man,IC,16,18,10,MA
140000,Man,IC,11,19,8,BA
90000,Man,IC,13,12,2,BA
67000,Man,IC,35,35,30,LT BA
115000,Man,IC,16,10,12,BA
130000,Man,Manager,7,27,3,BA
80000,Man,IC,16,13,5,MA
85000,Man,IC,13,12,6,BA
2e+05,Man,Manager,12,13,3,MA
121000,Woman,IC,17,26,17,BA
79000,Man,IC,13,13,4,BA
1e+05,Man,IC,17,16,13,BA
84000,Man,IC,21,11,14,MA
164000,Man,Manager,34,15,29,BA
93000,Man,IC,15,15,8,BA
203000,Man,IC,7,25,3,PhD
150000,Man,Manager,35,15,29,LT BA
104000,Man,IC,10,14,6,MA
62500,Woman,IC,26,12,16,MA
270000,Man,IC,10,10,7,BA
75000,Man,IC,4,19,3,BA
1e+05,Man,Manager,15,13,11,MA
135000,Man,Manager,25,16,15,BA
80000,Man,IC,5,16,3,MA
175000,Man,IC,26,12,10,MA
1e+05,Man,IC,12,15,10,BA
199000,Man,IC,23,11,20,BA
225000,Man,IC,6,26,5,BA
102000,Man,IC,5,19,4,LT BA
50000,Woman,IC,3,18,LT 1 year,BA
80000,Man,Manager,16,9,11,BA
51500,Man,IC,3,12,2,MA
142000,Man,IC,35,15,20,PhD
115000,Man,IC,44,18,40,BA
132000,Man,Manager,34,8,27,BA
95000,Man,IC,5,19,5,BA
50000,Man,IC,19,18,LT 1 year,BA
160000,Man,IC,39,10,20,PhD
115000,Man,IC,40,13,34,MA
183000,Man,IC,28,10,25,LT BA
1e+05,Man,IC,14,15,10,BA
93000,Man,IC,9,19,7,MA
78000,Man,IC,18,11,13,BA
84000,Man,IC,8,16,5,BA
150000,Man,IC,15,15,10,BA
63850,Man,IC,4,35,2,LT BA
83000,Man,IC,3,20,1,BA
320000,Man,Manager,28,12,24,Professional
144000,Man,IC,14,15,8,BA
160000,Man,IC,40,13,32,LT BA
70000,Man,IC,20,15,4,LT BA
98000,Man,IC,9,17,5,BA
90000,Man,IC,9,11,5,BA
134000,Man,IC,22,14,15,LT BA
150000,Man,IC,22,17,15,MA
120000,Man,IC,15,18,11,BA
115000,Man,IC,8,10,4,BA
154500,Man,IC,31,5,7,LT BA
65000,Man,IC,8,15,1,BA
77000,Man,IC,9,17,6,BA
160000,Man,IC,14,17,13,MA
110000,Man,IC,30,17,30,LT BA
1e+05,Woman,IC,2,29,1,BA
238500,Man,IC,24,14,20,MA
119000,Man,IC,10,19,6,BA
220000,Man,IC,18,12,12,BA
101000,Woman,IC,20,15,9,BA
168000,Man,IC,19,13,9,BA
90000,Man,IC,15,14,7,BA
120000,Man,IC,8,13,2,BA
47000,Man,IC,6,15,3,BA
70000,Man,IC,2,24,1,BA
174000,Man,Manager,25,12,22,LT BA
103000,Man,IC,8,19,5,PhD
85000,Man,IC,3,24,1,BA
175000,Man,Manager,41,12,35,BA
65000,Man,IC,9,8,3,LT BA
93000,Man,IC,5,20,2,BA
85000,Man,IC,5,20,2,BA
205000,Man,IC,13,16,8,BA
98000,Man,IC,12,13,9,LT BA
136000,Man,IC,22,18,19,MA
67000,Woman,IC,5,14,3,MA
83000,Man,IC,8,15,3,BA
170000,Man,Manager,25,10,20,BA
4e+05,Man,IC,20,13,11,PhD
75000,Man,IC,5,7,2,LT BA
65000,Man,IC,5,21,3,BA
55000,Man,IC,35,23,2,LT BA
160000,Woman,IC,10,16,6,Professional
1e+05,Man,IC,5,19,3,BA
110000,Man,IC,11,24,11,BA
108000,Man,IC,15,14,12,LT BA
180000,Man,IC,20,16,13,MA
70000,Man,IC,13,11,4,BA
115000,Man,IC,4,19,4,BA
111550,Man,IC,14,16,7,BA
90000,Man,IC,9,33,8,BA
130000,Man,IC,4,20,4,BA
120000,Man,IC,23,10,10,PhD
3e+05,Man,IC,9,14,7,BA
47500,Man,Manager,5,22,LT 1 year,BA
250000,Man,IC,16,17,16,MA
77500,Man,IC,10,13,5,BA
104000,Man,IC,24,12,5,BA
198550,Man,IC,17,16,15,BA
50000,Man,IC,3,35,1,BA
89000,Man,IC,19,17,19,LT BA
125000,Man,IC,10,8,10,BA
160000,Man,IC,11,10,7,BA
97000,Man,IC,12,32,10,BA
75000,Man,IC,6,11,LT 1 year,LT BA
65500,Man,IC,4,20,4,BA
84500,Man,IC,7,15,5,LT BA
159000,Man,Manager,25,10,13,BA
90000,Woman,IC,12,16,5,MA
70000,Man,IC,NA,NA,3,BA
70000,Man,IC,5,18,2,BA
92000,Man,IC,3,14,3,BA
109000,Man,IC,20,8,18,LT BA
65000,Man,IC,4,24,3,LT BA
124000,Man,IC,24,18,16,MA
132000,Man,IC,22,9,22,BA
70000,Man,IC,3,15,LT 1 year,BA
96000,Man,IC,9,19,5,LT BA
165000,Man,IC,34,10,26,BA
105000,Man,IC,13,13,9,LT BA
1e+05,Man,IC,5,18,3,BA
96000,Woman,IC,6,12,3,MA
180250,Woman,IC,18,12,14,BA
107000,Man,IC,10,15,4,BA
250000,Man,Manager,8,22,7,BA
150000,Man,IC,22,7,10,LT BA
150000,Woman,Manager,18,12,13,MA
160000,Man,IC,20,14,16,BA
198000,Man,Manager,15,11,10,BA
118000,Woman,IC,5,22,3,BA
77250,Man,IC,15,14,12,BA
95000,Man,IC,2,5,2,MA
103000,Man,IC,25,23,20,PhD
154500,Man,Manager,27,13,16,MA
90228,Man,IC,10,18,5,MA
70000,Man,IC,15,15,5,BA
83000,Man,IC,3,14,2,BA
104000,Man,IC,18,12,9,BA
70000,Man,IC,12,7,3,MA
62500,Man,IC,5,13,2,BA
150000,Man,IC,20,16,17,BA
128000,Man,IC,24,10,20,BA
73000,Man,IC,5,13,1,BA
105200,Man,IC,12,16,10,BA
91500,Man,IC,14,11,6,LT BA
105000,Man,IC,15,15,12,BA
85000,Man,IC,8,19,5,BA
132000,Man,Manager,13,19,10,BA
190000,Man,Manager,22,7,20,LT BA
164000,Man,IC,3,12,2,LT BA
90000,Man,IC,18,7,7,LT BA
135000,Man,IC,12,16,10,BA
150000,Man,IC,5,10,4,BA
95000,Man,Manager,40,10,25,LT BA
140000,Man,IC,13,14,5,LT BA
240000,Man,IC,11,14,7,BA
54889,Man,IC,16,14,10,MA
132000,Man,IC,16,6,12,LT BA
115000,Man,IC,5,18,1,BA
128000,Man,IC,26,12,24,MA
45000,Man,IC,7,10,4,LT BA
1e+05,Man,IC,8,15,2,BA
125000,Man,IC,17,18,13,BA
130000,Man,IC,30,8,25,LT BA
140000,Man,IC,43,19,38,BA
170000,Man,IC,13,18,11,BA
203000,Man,IC,15,11,7,LT BA
85000,Man,IC,7,18,3,BA
60000,Man,IC,6,17,2,BA
80000,Man,IC,7,26,4,MA
250000,Man,IC,16,14,12,MA
115000,Man,IC,12,17,5,BA
180000,Woman,Manager,15,21,10,MA
135000,Woman,IC,12,18,9,MA
115000,Man,IC,19,11,5,BA
132000,Man,Manager,15,16,12,BA
125000,Man,IC,23,8,8,BA
38000,Man,IC,7,13,4,LT BA
160000,Man,IC,11,18,7,BA
143000,Man,IC,33,19,31,BA
58400,Man,IC,15,15,7,BA
65000,Man,IC,4,28,2,MA
50000,Man,IC,4,19,4,BA
73000,Man,IC,16,14,8,BA
63500,Woman,IC,3,19,LT 1 year,BA
73000,Man,IC,1,14,LT 1 year,BA
120000,Man,IC,11,13,10,BA
125000,Man,IC,10,22,LT 1 year,BA
102000,Man,IC,30,14,20,BA
158000,Man,Manager,12,9,9,MA
69000,Man,IC,12,9,5,BA
175000,Man,IC,12,12,9,BA
162000,Man,IC,19,9,14,BA
120000,Man,IC,30,7,20,BA
70000,Man,IC,2,14,1,BA
103000,Man,IC,15,11,4,BA
65000,Man,IC,25,12,25,MA
85000,Man,IC,2,34,1,BA
2e+05,Man,IC,13,13,4,BA
98000,Woman,IC,20,22,20,MA
362000,Man,IC,20,13,17,BA
130000,Man,IC,16,11,4,BA
60000,Man,IC,4,8,1,BA
80000,Man,IC,14,11,7,BA
2e+05,Man,IC,15,9,7,BA
180000,Man,IC,28,12,18,LT BA
89000,Man,IC,NA,13,17,BA
145000,Man,Manager,18,11,13,BA
81500,Man,IC,6,26,3,BA
105000,Man,IC,10,17,8,BA
130000,Man,IC,14,18,10,BA
1e+05,Man,IC,6,11,2,BA
57000,Man,IC,3,8,1,BA
76500,Man,IC,3,16,2,BA
155000,Man,Manager,7,18,3,BA
75000,Man,IC,7,16,4,BA
52000,Man,IC,4,16,1,BA
101000,Man,IC,19,18,14,MA
50000,Man,IC,5,18,3,BA
56000,Woman,IC,LT 1 year,19,LT 1 year,PhD
65000,Woman,IC,4,17,3,BA
105000,Man,IC,8,12,3,BA
125000,Man,IC,10,21,5,BA
2e+05,Man,IC,14,16,9,MA
112000,Man,IC,11,7,8,BA
80000,Man,IC,14,11,8,BA
106000,Woman,IC,3,29,1,MA
60000,Woman,IC,1,28,LT 1 year,BA
106000,Man,IC,20,9,20,LT BA
170000,Man,Manager,19,12,11,LT BA
2e+05,Man,IC,17,11,7,MA
58000,Man,IC,10,14,5,BA
171000,Man,IC,9,15,2,MA
144000,Man,IC,13,13,12,BA
140000,Man,Manager,23,7,11,BA
85000,Man,IC,20,10,20,BA
125000,Man,IC,20,12,8,LT BA
63000,Man,IC,11,12,LT 1 year,BA
145000,Man,Manager,10,16,7,LT BA
98500,Man,IC,9,16,3,MA
73000,Man,IC,7,11,4,BA
4e+05,Man,Manager,17,12,8,BA
80000,Man,IC,9,19,5,BA
112000,Man,IC,8,15,3,BA
89000,Man,IC,44,10,42,LT BA
120000,Man,IC,23,7,20,BA
110000,Man,Manager,14,15,12,LT BA
110000,Man,Manager,15,14,8,BA
83000,Man,IC,5,22,5,BA
160000,Man,Manager,30,10,20,BA
326000,Woman,Manager,7,11,4,MA
120000,Man,IC,18,14,10,BA
78000,Woman,IC,2,29,2,LT BA
70000,Man,IC,2,34,1,MA
230000,Man,IC,6,17,3,BA
3e+05,Man,IC,20,10,12,MA
62000,Woman,IC,1,19,LT 1 year,BA
86216,Man,IC,8,16,2,BA
127000,Man,IC,7,26,6,BA
80000,Man,IC,3,14,2,BA
160000,Man,IC,15,15,11,LT BA
85000,Man,IC,15,13,5,BA
130000,Man,IC,25,11,10,BA
115000,Man,IC,10,10,7,MA
1e+05,Man,IC,16,16,6,MA
130000,Man,IC,10,14,3,BA
150000,Man,IC,7,20,5,MA
115000,Man,IC,12,9,5,MA
49000,Man,IC,10,12,10,BA
150000,Man,Manager,34,8,19,BA
115000,Man,IC,24,18,22,LT BA
125000,Man,Manager,18,14,12,LT BA
156000,Man,IC,6,18,6,MA
125000,Man,IC,14,18,9,BA
111000,Man,IC,13,14,12,MA
130000,Man,IC,16,12,8,BA
70000,Woman,IC,6,8,2,BA
77500,Man,IC,9,16,4,BA
95000,Man,IC,7,12,3,MA
70000,Man,IC,6,18,2,BA
68000,Man,IC,3,16,3,BA
55000,Man,IC,LT 1 year,26,LT 1 year,BA
170000,Man,IC,20,14,20,LT BA
2e+05,Man,IC,38,12,35,BA
63000,Man,IC,5,17,3,BA
140000,Man,IC,26,16,19,BA
96000,Man,IC,15,13,6,LT BA
112000,Man,IC,9,12,3,BA
230000,Man,IC,20,16,15,MA
125000,Man,IC,6,14,3,BA
110000,Man,IC,5,14,3,BA
135000,Man,IC,12,11,10,MA
60000,Woman,IC,1,14,LT 1 year,MA
60000,Man,IC,3,16,3,BA
126000,Man,IC,18,15,14,BA
80000,Man,IC,14,15,9,BA
140000,Man,IC,18,16,12,BA
175000,Man,Manager,11,8,7,BA
126000,Man,IC,20,18,20,BA
82000,Man,IC,13,14,5,MA
140000,Man,IC,7,13,4,BA
145000,Man,IC,37,12,24,BA
125000,Man,IC,7,25,3,BA
230000,Man,Manager,40,16,35,MA
250000,Man,IC,15,16,7,MA
88000,Man,IC,7,18,3,BA
135000,Man,IC,20,6,12,MA
75000,Man,IC,10,10,4,LT BA
80000,Man,IC,8,18,2,BA
110000,Man,Manager,26,9,10,MA
132000,Man,IC,30,Younger than 5 years,6,BA
450000,Man,IC,25,10,21,LT BA
150000,Man,IC,13,22,9,MA
32000,Man,IC,12,12,5,LT BA
167436,Man,Manager,21,15,15,BA
140000,Man,IC,10,27,7,PhD
140000,Man,IC,9,19,5,BA
135000,Man,IC,9,16,4,BA
125000,Man,IC,10,19,4,MA
74550,Man,IC,5,16,3,BA
232000,Man,IC,14,13,7,BA
185000,Man,IC,23,14,16,MA
111000,Man,IC,37,18,33,BA
2e+05,Man,Manager,19,8,9,LT BA
128500,Man,IC,25,12,20,LT BA
80000,Man,IC,4,22,2,MA
88148,Man,IC,29,9,17,LT BA
120000,Man,IC,20,10,9,LT BA
93000,Man,IC,10,14,5,BA
140000,Man,IC,30,10,16,BA
84000,Man,IC,2,27,2,BA
75000,Man,IC,6,9,3,BA
80000,Man,IC,10,16,5,MA
97000,Man,IC,17,9,13,PhD
130000,Woman,IC,4,23,4,BA
80000,Woman,IC,10,34,10,MA
67500,Woman,IC,15,10,6,BA
130000,Man,IC,8,15,4,LT BA
1e+05,Man,Manager,3,25,3,BA
150000,Man,Manager,14,10,7,BA
125000,Man,IC,19,17,15,BA
56250,Man,IC,16,11,5,LT BA
1e+05,Man,IC,8,15,5,MA
66000,Man,IC,7,18,2,BA
73500,Man,IC,20,16,10,LT BA
65000,Man,IC,11,17,7,BA
130000,Man,IC,13,13,8,BA
98500,Man,Manager,19,13,14,BA
60000,Man,IC,5,13,LT 1 year,LT BA
53000,Man,IC,13,17,6,BA
106000,Man,IC,30,15,19,NA
109000,Man,IC,5,20,2,BA
260000,Man,IC,10,10,6,LT BA
97000,Man,IC,22,13,18,LT BA
94000,Man,IC,7,15,7,LT BA
77000,Man,IC,2,40,1,NA
101000,Woman,IC,7,30,7,BA
250000,Man,IC,9,15,3,BA
120000,Man,IC,5,10,4,MA
75000,Man,IC,3,23,1,LT BA
138000,Man,IC,27,30,19,BA
92000,Woman,IC,6,19,5,BA
90000,Man,IC,14,13,10,BA
89000,Man,IC,17,16,12,LT BA
75000,Man,IC,6,17,2,BA
60000,Man,IC,6,9,2,LT BA
170000,Man,IC,21,15,20,MA
34284,Man,IC,11,10,5,MA
210000,Man,IC,10,12,6,BA
80000,Man,IC,4,18,2,BA
120000,Man,IC,20,7,10,LT BA
85000,Man,IC,10,15,2,BA
96000,Man,IC,30,8,15,MA
1e+05,Man,IC,8,19,4,BA
70000,Man,IC,7,12,4,BA
90000,Man,IC,3,20,LT 1 year,LT BA
2e+05,Man,IC,30,12,23,MA
190000,Man,IC,38,15,32,BA
95000,Man,IC,35,15,20,LT BA
146000,Man,IC,12,16,10,LT BA
157500,Man,IC,16,15,12,BA
54000,Man,IC,4,15,1,LT BA
155000,Man,IC,7,18,4,BA
135000,Man,IC,27,7,9,BA
92000,Man,IC,10,14,10,BA
94000,Man,IC,10,13,5,MA
85000,Man,IC,25,5,8,BA
80000,Woman,IC,4,21,2,MA
250000,Man,Manager,18,16,11,MA
160000,Woman,IC,12,18,5,MA
135000,Man,IC,20,16,16,BA
55000,Man,IC,6,19,2,BA
84000,Man,IC,14,17,9,BA
95000,Man,IC,25,13,8,MA
135000,Man,IC,5,8,2,MA
80000,Man,IC,10,20,8,BA
90000,Man,IC,8,18,6,LT BA
110000,Woman,IC,8,28,3,MA
60000,Man,IC,7,12,LT 1 year,BA
70000,Man,IC,10,12,6,BA
90000,Man,IC,10,14,7,BA
127000,Man,IC,4,18,2,MA
117000,Man,IC,23,8,21,BA
85000,Man,IC,20,9,5,BA
79000,Woman,IC,25,24,21,LT BA
105000,Man,IC,3,18,2,LT BA
60000,Woman,IC,3,10,2,BA
55000,Woman,IC,5,15,1,BA
118000,Man,IC,8,18,4,BA
95000,Man,Manager,14,17,9,BA
125000,Man,IC,10,20,6,BA
1e+05,Man,IC,13,12,9,BA
93000,Man,IC,11,20,8,BA
83000,Man,IC,10,13,4,BA
95000,Man,IC,30,7,18,BA
115000,Man,IC,10,8,7,BA
130000,Man,IC,23,12,3,BA
70000,Man,IC,7,16,4,BA
110000,Man,IC,13,16,5,BA
82000,Man,IC,23,11,10,LT BA
90000,Man,IC,18,21,18,BA
110000,Man,IC,5,12,3,BA
105000,Woman,IC,18,11,13,BA
180000,Man,IC,20,6,16,BA
75000,Man,IC,6,14,1,BA
160000,Man,IC,10,14,3,BA
130000,Man,IC,6,23,5,BA
80000,Man,IC,10,15,7,BA
195000,Man,Manager,30,17,25,MA
56100,Man,IC,2,16,2,BA
95000,Man,IC,12,10,5,BA
95000,Man,IC,26,10,21,LT BA
92000,Man,IC,10,13,3,BA
74000,Woman,IC,20,13,10,BA
1e+05,Woman,IC,4,22,2,BA
70000,Man,IC,8,14,6,BA
48000,Man,IC,8,17,4,BA
85000,Man,IC,9,14,4,BA
80000,Man,IC,12,16,10,MA
63000,Man,IC,5,14,3,BA
64000,Man,IC,7,16,2,BA
70000,Man,IC,15,12,2,LT BA
90000,Woman,IC,2,25,1,BA
52000,Man,IC,25,25,2,Professional
5e+05,Man,IC,30,8,21,BA
123000,Man,IC,13,17,10,BA
115000,Woman,IC,4,23,3,BA
75000,Man,IC,4,15,1,BA
82000,Woman,IC,15,8,5,MA
160000,Man,IC,10,12,10,LT BA
60000,Man,IC,15,10,10,BA
163500,Man,IC,40,14,31,MA
51750,Man,IC,6,14,2,LT BA
80500,Woman,IC,9,13,6,BA
96000,Man,Manager,19,13,11,BA
52000,Man,IC,2,20,1,BA
250000,Man,IC,24,8,23,MA
172000,Man,IC,30,11,22,MA
2e+05,Man,Manager,20,18,18,MA
115000,Man,IC,13,17,8,LT BA
152500,Man,IC,6,17,4,MA
51000,Woman,IC,21,35,21,BA
105000,Man,IC,4,17,2,MA
80000,Man,Manager,8,22,6,MA
126000,Man,IC,22,16,22,BA
1e+05,Man,IC,20,20,18,LT BA
77250,Man,IC,5,18,2,BA
55000,Man,IC,5,19,1,LT BA
104000,Man,IC,10,18,3,MA
84000,Woman,IC,7,19,3,BA
58000,Man,IC,10,15,3,BA
130000,Man,IC,8,12,7,LT BA
60000,Man,IC,5,16,LT 1 year,BA
144000,Man,IC,20,14,17,BA
84000,Man,IC,40,10,20,BA
107000,Man,IC,8,20,5,BA
90000,Man,IC,14,15,9,BA
75000,Man,IC,9,10,3,BA
85000,Man,IC,6,15,3,BA
105000,Man,IC,7,16,2,BA
67000,Man,IC,12,16,5,BA
56800,Woman,IC,2,26,1,MA
215000,Man,Manager,25,10,12,LT BA
115000,Man,IC,16,16,8,LT BA
130000,Man,IC,25,10,19,MA
75000,Man,IC,13,12,6,BA
71085,Man,IC,30,10,5,BA
147500,Man,IC,20,13,15,BA
35000,Man,Manager,37,18,33,BA
125000,Woman,IC,15,14,7,MA
110000,Man,Manager,20,12,10,BA
80000,Man,IC,13,10,LT 1 year,BA
75000,Man,IC,35,15,33,MA
159500,Man,IC,19,14,17,LT BA
74000,Man,IC,8,18,4,BA
75000,Man,IC,11,19,8,BA
58000,Man,IC,7,15,5,BA
110000,Man,Manager,10,15,8,BA
82500,Man,IC,6,12,5,BA
85000,Man,IC,25,10,23,MA
149000,Man,IC,38,11,28,BA
64000,Man,IC,4,20,2,BA
52000,Man,IC,7,16,2,BA
180000,Man,IC,25,8,22,BA
75000,Man,IC,10,35,5,PhD
190000,Man,Manager,34,15,32,LT BA
150000,Man,IC,25,13,19,MA
80000,Man,IC,8,14,3,LT BA
70000,Man,IC,8,19,2,MA
101000,Man,IC,6,15,3,BA
155000,Man,Manager,35,5,10,MA
90000,Man,IC,25,8,18,BA
143000,Man,Manager,18,14,20,LT BA
115000,Woman,IC,4,19,3,BA
66000,Man,IC,15,10,8,LT BA
85000,Man,IC,5,20,4,BA
62000,Man,IC,18,12,1,MA
